Date,Open,High,Low,Close,Adj Close,Volume
2023-02-06,4.460000,4.500000,4.460000,4.500000,4.407026,5618
2023-02-07,4.500000,4.500000,4.500000,4.500000,4.407026,0
2023-02-08,4.560000,4.600000,4.560000,4.560000,4.465786,1004
2023-02-09,4.300000,4.600000,4.300000,4.600000,4.504960,665
2023-02-10,4.600000,4.600000,4.500000,4.500000,4.407026,213
2023-02-13,4.580000,4.580000,4.580000,4.580000,4.485373,4000
2023-02-14,4.580000,4.580000,4.580000,4.580000,4.485373,106
2023-02-15,4.600000,4.600000,4.600000,4.600000,4.504960,24
2023-02-16,4.600000,4.600000,4.500000,4.500000,4.407026,235
2023-02-17,4.600000,4.600000,4.300000,4.600000,4.504960,531
2023-02-20,4.600000,4.600000,4.600000,4.600000,4.504960,0
2023-02-21,4.600000,4.600000,4.600000,4.600000,4.504960,0
2023-02-22,4.600000,4.600000,4.600000,4.600000,4.504960,0
2023-02-23,4.280000,4.480000,4.280000,4.340000,4.250332,298
2023-02-24,4.340000,4.340000,4.280000,4.300000,4.211158,1006
2023-02-27,4.320000,4.320000,4.300000,4.300000,4.211158,345
2023-02-28,4.300000,4.480000,4.300000,4.480000,4.387439,710
2023-03-01,4.300000,4.340000,4.300000,4.340000,4.250332,40
2023-03-02,4.580000,4.580000,4.580000,4.580000,4.485373,3
2023-03-03,4.400000,4.400000,4.400000,4.400000,4.309092,398
2023-03-06,4.400000,4.400000,4.400000,4.400000,4.309092,0
2023-03-07,4.500000,4.500000,4.280000,4.280000,4.191571,646
2023-03-08,4.280000,4.400000,4.280000,4.400000,4.309092,255
2023-03-09,4.280000,4.280000,4.200000,4.200000,4.113224,761
2023-03-10,4.200000,4.200000,4.200000,4.200000,4.113224,550
2023-03-13,4.000000,4.000000,4.000000,4.000000,3.917356,28
2023-03-14,4.500000,4.500000,4.500000,4.500000,4.407026,50
2023-03-15,4.480000,4.480000,4.000000,4.000000,3.917356,23
2023-03-16,4.060000,4.060000,4.020000,4.040000,3.956530,985
2023-03-17,4.040000,4.040000,4.040000,4.040000,3.956530,0
2023-03-20,4.020000,4.020000,4.020000,4.020000,3.936943,4
2023-03-21,4.020000,4.020000,4.020000,4.020000,3.936943,0
2023-03-22,4.020000,4.200000,4.020000,4.180000,4.093637,1867
2023-03-23,4.200000,4.200000,4.200000,4.200000,4.113224,673
2023-03-24,4.200000,4.200000,4.020000,4.200000,4.113224,1948
2023-03-27,4.200000,4.380000,4.080000,4.380000,4.289505,2447
2023-03-28,4.080000,4.340000,4.080000,4.340000,4.250332,60
2023-03-29,4.340000,4.340000,4.200000,4.200000,4.113224,93
2023-03-30,4.200000,4.360000,4.040000,4.360000,4.269918,2111
2023-03-31,4.340000,4.340000,4.180000,4.180000,4.093637,100
2023-04-03,4.180000,4.300000,4.020000,4.300000,4.211158,1501
2023-04-04,4.260000,4.260000,4.260000,4.260000,4.171985,800
2023-04-05,4.360000,4.360000,4.260000,4.260000,4.171985,2560
2023-04-06,4.260000,4.360000,4.100000,4.360000,4.269918,420
2023-04-11,4.160000,4.360000,4.160000,4.360000,4.269918,1016
2023-04-12,4.360000,4.360000,4.360000,4.360000,4.269918,0
2023-04-13,4.360000,4.360000,4.360000,4.360000,4.269918,0
2023-04-14,4.340000,4.340000,4.340000,4.340000,4.250332,10
2023-04-17,4.300000,4.300000,4.300000,4.300000,4.211158,1500
2023-04-18,4.300000,4.300000,4.280000,4.280000,4.191571,2090
2023-04-19,4.280000,4.280000,4.280000,4.280000,4.191571,760
